name,price_low,price_high,rating_num,rating,description
Coleman 50-Quart Marine Cooler,$30.99 ,$30.99 ,39,3.8,The Coleman Xtreme Marine 50-Quart Cooler features five-day ice retention and a leak-resistant drain
Coleman 50Qt Xtreme Cooler,$24.99 ,$24.99 ,61,3.4,"Keeps the Ice! up to 5 days at temperatures up to 90 F
Xtreme technology uses an insulated lid and extra insulation in the walls for longer ice retention
Holds 84 cans"
"Ozark Trail Premium 36 Can Cooler, White",$29.00 ,$49.95 ,114,2.6,"Made from easy to clean 600D-coated material
Dual carry handles
Spacious interior fits 36 cans plus ice"
Coleman 48 qt Inland Performance Series Marine Cooler,$21.99 ,$21.99 ,27,4.4,"UVGuard material
Up to 3 days at temperatures up to 90 degrees
Holds 63 cans"
"Ozark Trail 30 Can Leak Tight Cooler, Vector Camo",$29.00 ,$29.00 ,0,0,
Igloo Marine Ultra 94,$119.00 ,$119.00 ,24,4.7,"Ultratherm insulated body and lid
UV Inhibitors to protect against sun damage
Reinforced comfort grip handles with integrated fish measuring ruler on lid"
Igloo Outdoorsman Hardtop Gripper 22-Quart Cooler,$26.13 ,$46.99 ,11,4.7,Igloo MaxCold Outdoorsman Hard Top Gripper Soft-Side Cooler
Ozark Trail Collapsible 5 Gallon Water Tank,$8.97 ,$8.97 ,5,2.6,"5 gal capacity
Folds flat for compact storage
Easy pour, leakproof on/off spout"
Ozark Trail Premium 24-Can Cooler,$24.99 ,$39.95 ,25,3.9,"Made from easy to clean 600D-coated material
Spacious interior fits 24 cans plus ice
Quick-in entry"
Igloo 48-Qt Island Breeze Cooler,$16.88 ,$16.88 ,290,4.3,"Holds up to 72 cans
Stain- and odor-resistant liner
Swing-up side handles for comfortable carrying and lifting in or out of a vehicle"
Igloo 38 Quart Wheelie Cooler,$23.47 ,$23.47 ,86,4.2,Ultratherm insulation keeps contents coldDurable wheels and reinforced
Igloo 60 Quart Ice Cube Rolling Cooler,$26.88 ,$26.88 ,452,4.5,Igloo Ice Cube 60 Roller Red
"Coleman Xtreme 150 qt Cooler, Green",$72.36 ,$72.36 ,344,4.6,"Holds 223 cans
Convenient hinged lid with 4 built-in cup holders
Rustproof, leak-resistant drain for no-tilt emptying and cleaning"
Coleman 50-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels,$24.99 ,$29.82 ,549,3.8,"Keeps ice up to 5 days at temps as high as 90????F
Locking telescoping handle and heavy-duty wheels for easy, reliable transport
Holds 84 cans and has molded cup holders on top of"
"Lifetime 55 Quart High Performance Cooler, 90949",$97.00 ,$97.00 ,414,4.2,The Lifetime High Performance Cooler is perfect for anywhere you want to go. Its performance exceeds most premium priced coolers both in strength and in the all-important ice retention. With an
Coleman 120-Quart Xtreme 6-Day Heavy-Duty Cooler,$58.00 ,$58.00 ,12,4.8,"Keeps ice up to 6 days in temps as high as 90??F
120-quart capacity holds up to 204 cans
Have-A-Seat lid supports up to 250 lb. so closed cooler doubles as a chair"
Igloo Island Breeze 9-Quart Cooler,$9.97 ,$9.97 ,141,4.3,"Capacity: 9 QT/8 L/13 Cans
Cool Riser Technology
Designed for Easy Stacking and Storage"
Coleman 50-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels,$29.82 ,$29.82 ,57,3.5,"Keeps ice up to 5 days at temps up to 90????F
Heavy-duty wheels for easy, reliable transport
Holds 84 cans and has molded cup holders on top of lid to keep drinks close and prevent"
"Coleman 150-Quart Xtreme 6-Day Marine Cooler, Slate",$69.00 ,$69.00 ,31,4.5,"Keeps ice up to 6 days in temps as high as 90??F
Holds up to 223 cans
Antimicrobial-treated liner resists odor, mold, mildew, and fungus"
"Coleman Coastal Xtreme Series Marine Portable Cooler, 120 Quart",$49.00 ,$49.00 ,148,4.6,"Holds 190 cans
Xtreme 5 technology keeps ice up to 5 days
Antimicrobial additive"
Igloo 28-Qt Island Breeze Cooler,$17.47 ,$17.47 ,64,4.2344,"Patent pending Cool Riser technology improves cooling performance
Ergonomic curved backside for ultimate carrying comfort
Swing up handle with 3 grab/carry points for one handed"
"Coleman 100 QUART XTREME?? 5 Day Heavy-Duty Cooler With Wheels, Blue",$53.05 ,$81.95 ,573,4.5,"Keeps ice up to 5 days at temps up to 90????F thanks to an insulated lid and extra insulation in walls
Heavy-duty wheels for easy, reliable transport
Holds 160 cans and has molded"
Lifetime 28 Quart High Performance Cooler,$78.00 ,$78.00 ,105,4,"Heavy-duty polyethylene construction
Up to 5-day ice retention
2 rubber latches; easily opened with one hand"
Ozark Trail 26-Quart High-Performance Cooler,$86.00 ,$86.00 ,535,3.7,"Premium insulation keeps ice for more than 4.5 days
Roto-molded, seamless, one-piece construction with UV-resistant exterior
Durable, secure T-handle latches"
"Ozark Trail 30 Can Leaktight Cooler with Heat Welded Body, Gray",$54.00 ,$54.00 ,134,3.5,"Leak Tight Zipper
30 Can Capacity
Thick EPE foam insulation"
Coleman 28-Quart Xtreme 3 Cooler,$18.95 ,$18.95 ,87,4.2,"Holds 36 cans
28-quart cooler has a stylish outer casing
2 molded cup holders keep drinks close"
